,ID,Name,Age,OVA,Nationality,Club,BP,POT,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing Tackle,Sliding Tackle,PAC,SHO,PAS,DRI,DEF,PHY
752,158023,L. Messi,33,93,Argentina,FC Barcelona,RW,93,85,95,70,91,88,96,93,94,91,96,91,80,91,94,95,86,68,72,69,94,44,40,93,95,75,96,32,35,24,85,92,91,95,38,65
142,20801,Cristiano Ronaldo,35,92,Portugal,Juventus,ST,92,84,95,90,82,86,88,81,76,77,92,87,91,87,95,71,94,95,84,78,93,63,29,95,82,84,95,28,32,24,89,93,81,89,35,77
2871,192985,K. De Bruyne,29,91,Belgium,Manchester City,CAM,91,94,82,55,94,82,88,85,83,93,92,77,76,78,91,76,91,63,89,74,91,76,66,88,94,84,91,68,65,53,76,86,93,88,64,78
2287,188545,R. Lewandowski,31,91,Poland,FC Bayern München,ST,91,71,94,85,84,89,85,79,85,70,88,77,78,77,93,82,89,84,76,86,85,81,49,94,79,88,88,35,42,19,78,91,78,85,43,82
2650,190871,Neymar Jr,28,91,Brazil,Paris Saint-Germain,LW,91,85,87,62,87,87,95,88,89,81,95,94,89,96,91,83,80,62,81,50,84,51,36,87,90,92,93,35,30,29,91,85,86,94,36,59
9331,231747,K. Mbappé,21,90,France,Paris Saint-Germain,ST,95,78,91,73,83,83,92,79,63,70,90,96,96,92,92,82,86,77,86,76,79,62,38,91,80,70,84,34,34,32,96,86,78,91,39,76
4166,203376,V. van Dijk,28,90,Netherlands,Liverpool,CB,91,53,52,87,79,45,70,60,70,86,77,72,79,61,89,53,81,90,75,92,64,83,90,47,65,62,90,93,93,86,76,60,71,71,91,86
5030,208722,S. Mané,28,90,Senegal,Liverpool,LW,90,76,90,84,85,75,91,76,64,71,89,95,93,93,93,86,84,86,88,70,78,75,35,92,85,71,84,42,42,38,94,85,80,90,44,76
5109,209331,M. Salah,28,90,Egypt,Liverpool,RW,90,79,91,59,84,79,90,83,69,75,89,94,92,91,92,91,80,69,85,75,84,63,55,91,84,83,90,38,43,41,93,86,81,90,45,75
662,153079,S. Agüero,32,89,Argentina,Manchester City,ST,89,70,94,78,83,86,88,83,73,64,89,79,78,84,92,91,89,78,78,74,84,65,24,94,83,75,91,30,29,24,78,90,77,88,33,73
3630,200145,Casemiro,28,89,Brazil,Real Madrid,CDM,89,58,64,80,84,63,69,63,74,84,79,60,69,61,87,66,88,87,90,91,81,91,87,72,80,66,84,84,88,87,65,73,76,72,86,91
681,155862,Sergio Ramos,34,89,Spain,Real Madrid,CB,89,66,65,92,82,69,65,74,76,83,83,72,70,78,92,66,79,93,81,85,64,90,88,73,71,92,88,85,88,90,71,70,76,73,88,85
946,165153,K. Benzema,32,89,France,Real Madrid,CF,89,75,88,91,86,86,87,81,73,73,90,77,72,79,91,69,84,79,78,80,79,63,39,90,87,84,90,47,24,18,74,85,81,86,40,76
5736,212622,J. Kimmich,25,88,Germany,FC Bayern München,CDM,90,91,66,72,87,67,83,85,61,86,85,77,66,84,88,84,78,79,95,67,84,89,82,80,84,44,85,82,84,79,71,72,86,84,81,79
4049,202652,R. Sterling,25,88,England,Manchester City,LW,90,78,85,46,84,67,90,77,63,69,88,96,90,94,90,94,78,57,79,65,79,59,30,92,82,69,80,47,53,47,93,81,79,90,45,67
3961,202126,H. Kane,26,88,England,Tottenham Hotspur,ST,89,75,94,85,81,85,80,80,68,83,84,66,69,69,90,73,91,79,84,84,86,81,35,93,83,90,91,56,36,38,68,91,80,80,47,83
5425,211110,P. Dybala,26,88,Argentina,Juventus,CAM,89,82,84,64,87,88,91,88,88,75,94,89,82,92,84,90,82,75,78,60,87,48,42,85,87,86,84,32,48,40,85,85,84,92,43,63
6333,215914,N. Kanté,29,88,France,Chelsea,CDM,88,68,65,54,85,56,79,49,49,79,80,79,76,82,91,92,71,77,96,72,65,90,91,72,79,54,85,89,90,85,77,66,76,81,86,82
1800,183277,E. Hazard,29,88,Belgium,Real Madrid,LW,88,77,82,61,85,83,93,83,79,81,91,91,86,92,86,93,82,56,82,63,78,54,41,85,86,87,90,34,27,22,88,82,83,92,35,66
1753,182521,T. Kroos,30,88,Germany,Real Madrid,CM,88,88,76,58,93,82,80,86,84,93,89,57,52,63,89,71,89,32,75,73,86,60,79,76,90,73,88,72,73,60,54,81,91,81,71,69
366,121939,P. Lahm,32,88,Germany,FC Bayern München,RWB,88,84,47,63,86,66,82,77,59,77,86,68,67,82,91,93,57,72,79,59,65,58,93,69,82,69,94,86,87,95,67,56,82,84,86,64
3771,201024,K. Koulibaly,29,88,Senegal,Napoli,CB,88,30,22,84,74,14,69,28,28,63,74,73,77,52,85,41,55,82,70,94,15,87,87,35,52,33,82,91,89,87,75,28,55,68,89,86
9633,233049,J. Sancho,20,87,England,Borussia Dortmund,CAM,93,83,81,38,88,83,92,81,48,68,91,86,81,91,87,90,70,51,77,67,63,44,39,83,87,60,84,32,41,32,83,74,81,91,37,64
9212,231281,T. Alexander-Arnold,21,87,England,Liverpool,RB,92,93,56,69,85,62,77,88,85,89,87,77,83,74,83,74,80,66,88,62,74,74,82,76,84,55,81,79,83,79,80,66,87,80,80,71
1425,177176,H. de Noteboom,32,87,Netherlands,Netherlands,ST,90,70,90,88,75,,81,,70,55,87,85,85,,96,,95,,78,84,80,75,91,95,,77,,29,47,,85,88,68,85,55,80
5633,212198,Bruno Fernandes,25,87,Portugal,Manchester United,CAM,90,87,77,58,88,86,85,86,87,87,88,78,76,79,86,79,89,72,94,67,89,70,74,83,90,91,86,72,67,55,77,83,88,85,68,75
1427,177193,B. Ronhaar,23,87,Netherlands,Netherlands,CF,90,87,74,48,86,,89,,80,75,86,96,91,,96,,59,,85,57,67,54,85,88,,89,,20,24,,93,71,83,89,37,65
5642,212218,A. Laporte,26,87,France,Manchester City,CB,90,58,45,86,82,40,63,61,69,80,78,60,65,59,87,60,68,76,72,85,47,81,87,54,65,44,85,89,89,88,63,50,72,68,88,81
